,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
6218,Fox Connect 1.6 4p.,19/20,Branca,Flex,21.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-connect-1-6-4p/19-20/1080774,Auto + Veículos,"Av. Hayel Bon Faker, 1300 - Jardim Água Boa - Dourados / MS"
6219,Gol 1.0 12v 4p.,20/21,Prata,Flex,47.387 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-12v-4p/20-21/1073952,Clodoaldo Veículos,"Av. Rosario Gongro, 1451 - Colinos - Três Lagoas / MS"
6220,Gol 1.0 12v 4p.,20/21,Cinza,Flex,52.324 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-12v-4p/20-21/1064647,Clodoaldo Veículos,"Av. Rosario Gongro, 1451 - Colinos - Três Lagoas / MS"
6221,Gol 1.0 12v 4p.,19/20,Cinza,Flex,46.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-12v-4p/19-20/1079577,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS"
6222,Gol 1.0 12v 4p.,19/20,Branca,Flex,50.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-12v-4p/19-20/1067168,Lokal Veículos,"Av. Ernesto Geisel, 3417 - Amambaí - Campo Grande / MS"
6223,Gol 1.0 12v 4p.,18/19,Branca,Flex,23.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-12v-4p/18-19/1076668,NR Veículos,"Av. Marechal Deodoro, 2365 - Guanandi - Campo Grande / MS"
6224,Gol 1.6 4p.,19/20,Branca,Flex,45.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/19-20/1079908,Ildcar Veículos,"Av. Ernesto Geisel, 95 - Vila Marcos Roberto - Campo Grande / MS"
6225,Gol Track 1.0 4p.,18/18,Vermelha,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-track-1-0-4p/18-18/1088833,M.G.R. Veículos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS"
6226,Golf Sportline Limited Edition 1.6,13/14,Branca,Flex,110.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-sportline-limited-edition-1-6/13-14/1080452,G3 Veículos,"Av. Gury Marques, 3658 - Pioneiros - Campo Grande / MS"
6227,HB20 Comfort Plus 1.6 16v,18/18,Chumbo,Flex,39.700 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-plus-1-6-16v/18-18/1055469,BSG Veículos,"Av. Cel. Antonino, 2053 - Conj. Res. Estrela do Sul - Campo Grande / MS"
6228,HB20 Premium 1.6 16v A/T,15/15,Branca,Flex,68.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-premium-1-6-16v/15-15/1085823,V8 Veículos,"Av. Fernando Correa da Costa, 2075 - Centro - Campo Grande / MS"
6229,HB20 Unique 1.0 12v,19/19,Prata,Flex,68.795 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-unique-1-0-12v/19-19/1072051,Clodoaldo Veículos,"Av. Rosario Gongro, 1451 - Colinos - Três Lagoas / MS"
6230,HB20 Unique 1.0 12v,18/19,Branca,Flex,40.875 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-unique-1-0-12v/18-19/1075827,Clodoaldo Veículos,"Av. Rosario Gongro, 1451 - Colinos - Três Lagoas / MS"
6231,HB20S Comfort Plus 1.0 12v,18/18,Diversas,Flex,86.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20s-comfort-plus-1-0-12v/18-18/1086783,Super Veículos,"Av. Bandeirantes, 2217 - Vila Bandeirantes - Campo Grande / MS"
6232,HB20S Copa do Mundo 1.6 16v A/T,14/15,Prata,Flex,109.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20s-copa-do-mundo-1-6-16v/14-15/1086981,Dumas Torraca Michels,Dourados - MS
6233,HB20S Unique 1.0 12v,19/19,Branca,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20s-unique-1-0-12v/19-19/1081632,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS"
6234,HB20S Unique 1.0 12v,19/19,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/hyundai/hb20s-unique-1-0-12v/19-19/1060801,Podium Veículos Loja 2,"Av. Manoel da Costa Lima, 301 - Vila Ipiranga - Campo Grande / MS"
6235,Jetta Comfortline 2.0 A/T,12/13,Branca,Flex,175.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/jetta-comfortline-2-0/12-13/1081448,Terra Automóveis,"Av. Ricardo Brandão, 05 - Centro - Campo Grande / MS"
6236,Journey R/T 2.7 V6 24v A/T,10/10,Cinza,Gasolina,68.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/dodge/journey-r-t-2-7-v6-24v/10-10/1077046,Anderson Alvarenga Santos,Campo Grande - MS
6237,Journey R/T 3.6 V6 24v A/T,11/12,Prata,Gasolina,94.200 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/dodge/journey-r-t-3-6-v6-24v/11-12/1084918,Joca Veículos,"Av. Bandeirantes, 1229 - Vila Bandeirantes - Campo Grande / MS"
