Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1071701,Palio ELX 1.8 Dualogic 4p. A/T,Preta,Flex,,23590.0,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-8-dualogic-4p/09-10/1071701,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS",2009,2010, MS,"Av. Bandeirantes, 1383 ", Vila Bandeirantes , Campo Grande ,fiat,10/06/2021
1072102,Palio ELX 1.8 Dualogic 4p. A/T,Preta,Flex,,23590.0,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-8-dualogic-4p/09-10/1072102,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS",2009,2010, MS,"Av. Bandeirantes, 1366 ", Vila Bandeirantes , Campo Grande ,fiat,10/06/2021
1088155,Uno Mille Economy Way 1.0 Fire 2p.,Branca,Flex,,23590.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-way-1-0-fire-2p/12-13/1088155,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 1383 ", Vila Bandeirantes , Campo Grande ,fiat,10/06/2021
1087470,Uno Mille Economy Way 1.0 Fire 2p.,Branca,Flex,,23590.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-way-1-0-fire-2p/12-13/1087470,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 1366 ", Vila Bandeirantes , Campo Grande ,fiat,10/06/2021
1057254,Agile LT 1.4,Prata,Flex,104000.0,23800.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/agile-lt-1-4/10-11/1057254,690 Veículos,"Av. Coronel Antonino, 690 - Coronel Antonino - Campo Grande / MS",2010,2011, MS,"Av. Coronel Antonino, 690 ", Coronel Antonino , Campo Grande ,gm-chevrolet,10/06/2021
1072992,Blazer Advantage 2.4,Prata,Flex,,23800.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/blazer-advantage-2-4/08-09/1072992,TR4 Veículos,"Av. Pres. Ernesto Geisel, 5323 - Centro - Campo Grande / MS",2008,2009, MS,"Av. Pres. Ernesto Geisel, 5323 ", Centro , Campo Grande ,gm-chevrolet,10/06/2021
1082017,C3 Hatch Exclusive 1.4,Prata,Flex,89111.0,23800.0,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-4/11-12/1082017,R4 Motors,"Av Interlagos, 3388 - Vila Albuquerque - Campo Grande / MS",2011,2012, MS,"Av Interlagos, 3388 ", Vila Albuquerque , Campo Grande ,citro-n,10/06/2021
1072368,EcoSport XLT Freestyle 1.6,Prata,Flex,,23800.0,https://www.shopcar.com.br/veiculos/ford/ecosport-xlt-freestyle-1-6/07-07/1072368,Fábio Despachante & Veículos,"Av. Salgado Filho, 1176 - Amambaí - Campo Grande / MS",2007,2007, MS,"Av. Salgado Filho, 1176 ", Amambaí , Campo Grande ,ford,10/06/2021
1068241,Fiesta Sedan 1.6,Preta,Flex,,23800.0,https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-6/11-11/1068241,Cortez Veículos,"Av. Bandeirantes, 2150 - Vila Bandeirantes - Campo Grande / MS",2011,2011, MS,"Av. Bandeirantes, 2150 ", Vila Bandeirantes , Campo Grande ,ford,10/06/2021
1084244,Fiesta Sedan SE 1.6 16v,Dourada,Flex,,23800.0,https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-se-1-6-16v/09-10/1084244,Simone Automóveis,"Av. Bandeirantes, 1855 - Bandeirantes - Campo Grande / MS",2009,2010, MS,"Av. Bandeirantes, 1855 ", Bandeirantes , Campo Grande ,ford,10/06/2021
1084513,Gol 1.0 4p.,Prata,Flex,180579.0,23800.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/09-10/1084513,Vardasca Veículos,"Av. Weimar Gonçalves Torres, 3095 - Centro - Dourados / MS",2009,2010, MS,"Av. Weimar Gonçalves Torres, 3095 ", Centro , Dourados ,vw-volkswagen,10/06/2021
1089939,Gol City 1.0 4p.,Prata,Flex,,23800.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-city-1-0-4p/14-14/1089939,Leo Motors,"Rua José Paes de Farias, 534 - Jardim Jacy - Campo Grande / MS",2014,2014, MS,"Rua José Paes de Farias, 534 ", Jardim Jacy , Campo Grande ,vw-volkswagen,10/06/2021
1089924,Ka 1.0,Prata,Flex,,23800.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-12/1089924,Santana Veículos,"Av. Duque de Caxias, 5012 - Vila Eliane - Campo Grande / MS",2012,2012, MS,"Av. Duque de Caxias, 5012 ", Vila Eliane , Campo Grande ,ford,10/06/2021
1082326,Meriva Joy 1.4,Prata,Flex,,23800.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/meriva-joy-1-4/10-11/1082326,Giovel Automóveis,"Rua Antonio Maria Coelho, 880 - Centro - Campo Grande / MS",2010,2011, MS,"Rua Antonio Maria Coelho, 880 ", Centro , Campo Grande ,gm-chevrolet,10/06/2021
1088271,Sandero Expression 1.0 16v,Preta,Flex,55000.0,23800.0,https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-0-16v/10-11/1088271,Emotors,"Av. Afonso Pena, 470 - Amambaí - Campo Grande / MS",2010,2011, MS,"Av. Afonso Pena, 470 ", Amambaí , Campo Grande ,renault,10/06/2021
