,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
5440,Up! Move 1.0 12v TSi 4p.,16/17,Vermelha,Flex,79.157 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/up-move-1-0-12v-tsi-4p/16-17/1080697,3DB Multimarcas,"Av. Pres. Ernesto Geisel, 5404 - Centro - Campo Grande / MS"
5441,Versa S 1.0 12v,17/17,Vermelha,Flex,38.856 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/nissan/versa-s-1-0-12v/17-17/1061822,Vision Automóveis,"Av. Coronel Antonino, 995 - Coronel Antonino - Campo Grande / MS"
5442,Voyage Comfortline 1.6,15/16,Prata,Flex,87.298 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-comfortline-1-6/15-16/1086185,Saraiva Automóveis ,"Av. Bandeirantes, 2900 - Vila Jacy - Campo Grande / MS"
5443,Voyage Trendline 1.6,17/17,Branca,Flex,38.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-trendline-1-6/17-17/1085251,Eduardo Paulino Veículos ,"Rua Teodoro Rondon, 260 - Centro - Aquidauana / MS"
5444,Voyage Trendline 1.6,17/17,Branca,Gasolina,53.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-trendline-1-6/17-17/1053068,NR Veículos,"Av. Marechal Deodoro, 2365 - Guanandi - Campo Grande / MS"
5445,X60 1.8 16v Talent,15/16,Branca,Gasolina,69.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/lifan/x60-1-8-16v-talent/15-16/1078025,Vando Veículos,"Av. Bandeirantes, 909 - Amambaí - Campo Grande / MS"
5446,Ka SE 1.5 16v,18/18,Prata,Flex,Não disponível,"R$ 43.980,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-5-16v/18-18/1048858,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS"
5447,Ka SE 1.5 16v,18/18,Prata,Flex,Não disponível,"R$ 43.980,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-5-16v/18-18/1037447,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS"
5448,City LX 1.5 16v A/T,12/13,Preta,Flex,Não disponível,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/honda/city-lx-1-5-16v/12-13/1087489,Bertotto Veículos,"Av. Weimar Goncalves Torres, 4799 - Jardim Caramuru - Dourados / MS"
5449,Gol 1.6 4p.,18/19,Branca,Flex,66.881 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/18-19/1061145,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
5450,Gol Comfortline 1.6 4p.,15/16,Branca,Flex,93.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-comfortline-1-6-4p/15-16/1075351,Hashimoto Motors,"Av. Marcelino Pires, 4540 - Vila Industrial - Dourados / MS"
5451,Gol Track 1.0 12v 4p.,17/18,Branca,Flex,81.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-track-1-0-12v-4p/17-18/1081196,Automais Veículos,"Av. Tamandaré, 1294 - Vila Planalto - Campo Grande / MS"
5452,Ka SE 1.0 12v,19/19,Prata,Flex,39.890 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/19-19/1078102,Alfa Motors,"Av. Marcelino Pires, 4650 - Centro - Dourados / MS"
5453,Ka SE 1.0 12v,18/19,Cinza,Flex,36.800 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/18-19/1074038,AutoSam Multimarcas,"Av. Eurico Soares Andrade, 1411 - Centro - Nova Andradina / MS"
5454,Onix Joy 1.0,17/18,Cinza,Flex,57.500 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/17-18/1090153,KV Veículos,"R. Alegrete, 2139 - Cel. Antonino - Campo Grande / MS"
