Id_Anuncio_ShopCar,Unnamed: 0,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca
1089084,4520,Grand Siena Essence 1.6 16v,14/15,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/fiat/grand-siena-essence-1-6-16v/14-15/1089084,JB Motors,"Av. Bandeirantes, 3215 - Nova Bandeirantes - Campo Grande / MS",2014,2015, MS,"Av. Bandeirantes, 3215 ", Nova Bandeirantes , Campo Grande ,fiat
1079903,4521,Grand Siena Essence 1.6 16v,14/15,Branca,Flex,88000.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/grand-siena-essence-1-6-16v/14-15/1079903,Eduardo Paulino Veículos ,"Rua Teodoro Rondon, 260 - Centro - Aquidauana / MS",2014,2015, MS,"Rua Teodoro Rondon, 260 ", Centro , Aquidauana ,fiat
1075701,4522,Grand Siena Essence 1.6 16v,14/15,Branca,Flex,95600.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/grand-siena-essence-1-6-16v/14-15/1075701,Perkal Chevrolet,"Av. Antonio Joaquim de Moura Andrade, 2010 - Centro - Nova Andradina / MS",2014,2015, MS,"Av. Antonio Joaquim de Moura Andrade, 2010 ", Centro , Nova Andradina ,fiat
1086670,4523,HB20 Comfort 1.0 12v,14/14,Preta,Flex,76000.0,37900.0,https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-1-0-12v/14-14/1086670,Trade Motors,"Av. Bandeirantes, 2774 - Vila Bandeirante - Campo Grande / MS",2014,2014, MS,"Av. Bandeirantes, 2774 ", Vila Bandeirante , Campo Grande ,hyundai
1078235,4524,HB20 Comfort Plus 1.0 12v,14/14,Branca,Flex,70000.0,37900.0,https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-plus-1-0-12v/14-14/1078235,GTI Veículos,"Avenida Bandeirantes, 560 - Amambaí - Campo Grande / MS",2014,2014, MS,"Avenida Bandeirantes, 560 ", Amambaí , Campo Grande ,hyundai
1072504,4525,HB20 Comfort Plus 1.6 16v,12/13,Cinza,Flex,,37900.0,https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-plus-1-6-16v/12-13/1072504,Mega Automóveis,"Av. Bandeirantes, 1177 - Amambaí - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 1177 ", Amambaí , Campo Grande ,hyundai
1046022,4526,HB20 Premium 1.6 16v,13/14,Branca,Flex,95000.0,37900.0,https://www.shopcar.com.br/veiculos/hyundai/hb20-premium-1-6-16v/13-14/1046022,Recorde Veículos,"Av. Rouxinol, 438 - Tiradentes - Campo Grande / MS",2013,2014, MS,"Av. Rouxinol, 438 ", Tiradentes , Campo Grande ,hyundai
1079682,4527,i30 GLS 2.0 16v A/T,11/12,Prata,Gasolina,85000.0,37900.0,https://www.shopcar.com.br/veiculos/hyundai/i30-gls-2-0-16v/11-12/1079682,Via Premium Motors,"Weimar Gonçalves Torres, 5155 - Jardim Guanabara - Dourados / MS",2011,2012, MS,"Weimar Gonçalves Torres, 5155 ", Jardim Guanabara , Dourados ,hyundai
1079408,4528,Ka SE 1.0 12v,18/18,Vermelha,Flex,52000.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/18-18/1079408,Irineu Automóveis,"Rua Yokoama, 66 - Vila Palmeira - Campo Grande / MS",2018,2018, MS,"Rua Yokoama, 66 ", Vila Palmeira , Campo Grande ,ford
1037628,4529,Ka SE 1.0 12v,16/17,Branca,Flex,44500.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/16-17/1037628,MS Multimarcas," Av. Cel. Antonino, 1505 - Cel. Antonino - Campo Grande / MS",2016,2017, MS," Av. Cel. Antonino, 1505 ", Cel. Antonino , Campo Grande ,ford
1084942,4530,Ka SE 1.0 12v,16/16,Prata,Flex,70000.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/16-16/1084942,V8 Veículos,"Av. Fernando Correa da Costa, 2075 - Centro - Campo Grande / MS",2016,2016, MS,"Av. Fernando Correa da Costa, 2075 ", Centro , Campo Grande ,ford
1079188,4531,Ka SE 1.0 12v,15/16,Preta,Flex,,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/15-16/1079188,MF Car,"Av. Bandeirantes, 775 - Amambai - Campo Grande / MS",2015,2016, MS,"Av. Bandeirantes, 775 ", Amambai , Campo Grande ,ford
1086975,4532,Ka SE 1.0 12v,15/15,Preta,Flex,83000.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/15-15/1086975,Avenida Veículos,"Av. Marcelino Pires, 4478 - Vila Industrial - Dourados / MS",2015,2015, MS,"Av. Marcelino Pires, 4478 ", Vila Industrial , Dourados ,ford
