,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
59,1.251617445799031,paulo_oliveira1512,1104171332,,Mata do Jacinto,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/s10-ltz-flex-mt-abaixo-fipe-1104171332,127000,Não,92500.0,2014,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD,Não,GM - Chevrolet,23,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,5894
60,1.35735982942645,ramão,1105234309,,Jardim Aero Rancho,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-1105234309,120000,Sim,135000.0,2017,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET S10 PICK-UP LS 2.8 TDI 4X2 CD DIES. MEC.,Não,GM - Chevrolet,23,S10 Pick-Up LS 2.8 TDI 4x2 CD Dies. Mec.,6099
61,1.1230272740207472,Localiza Seminovos Campo Grande (VCCGR),1105241273,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/spin-2021-2021-1-8-premier-8v-flex-4p-automatico-1105241273,53969,,95640.0,2021,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET SPIN PREMIER 1.8 8V ECONO.FLEX 5P AUT.,,GM - Chevrolet,23,SPIN PREMIER 1.8 8V Econo.Flex 5p Aut.,8691
62,0.7271578015015775,paulenglerth,1105919699,,Bairro da Granja,Ponta Porã,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1-6-trend-cs-2012-2012-1105919699,110000,Sim,39900.0,2012,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO 1.6 MI/ 1.6 MI TOTAL FLEX 8V,Não,VW - VolksWagen,59,Saveiro 1.6 Mi/ 1.6 Mi Total Flex 8V,2553
71,1.2328042809152644,FABIANO SCHULZ,1105940606,,Universitário,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-1-4-1105940606,46500,Sim,61000.0,2018,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH EFFECT 1.4 8V F.POWER 5P MEC.,Não,GM - Chevrolet,23,ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.,7120
72,0.9520552975900762,Mags,1105949303,,Pioneiros,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-a4-tfsi-2-0-turbo-file-1105949303,176000,Sim,65900.0,2011,"Mato Grosso do Sul, MS",MS,AUDI,AUDI A4 2.0 16V TFSI 183/180CV MULTITRONIC,Sim,Audi,6,A4 2.0 16V TFSI 183/180cv Multitronic,4843
73,1.0234156702910475,mrbersa,1105949744,,Jardim Paranapunga,Três Lagoas,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jetta-highiline-2-0-t-tsi-2014-2011-cv-1105949744,120850,Sim,77000.0,2014,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN JETTA HIGHLINE 2.0 TSI 16V 4P TIPTRONIC,Não,VW - VolksWagen,59,JETTA Highline 2.0 TSI 16V 4p Tiptronic,5514
74,0.6739796211537253,Dheny Silva,1105992456,,,Maracaju,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/veiculo-corolla-1105992456,190000,Não,42000.0,2009,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,Não,Toyota,56,Corolla XEi 1.8/1.8 Flex 16V Aut.,2229
75,1.0638861233191514,Alexandre,1106721673,,Centro,Dourados,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/amarok-extreme-v6-repasse-1106721673,74000,Sim,183500.0,2019,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN AMAROK EXTREME CD 3.0 4X4 TB DIES. AUT.,Não,VW - VolksWagen,59,AMAROK Extreme CD 3.0 4x4 TB Dies. Aut.,8532
76,1.0186419162026217,victor lima,1108523144,,Bairro Seminário,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g6-1108523144,75000,Sim,34500.0,2013,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,Não,VW - VolksWagen,59,Gol (novo) 1.0 Mi Total Flex 8V 4p,4689
