Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1141522,C4 Cactus Shine Pack 1.6 16v THP A/T,Preta,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c4-cactus-shine-pack-1-6-16v-thp/21-22/1141522,Monza Citro�n Peugeot,"Av. Coronel Antonino, 441 - Coronel Antonino - Campo Grande / MS",2021,1922, MS,"Av. Coronel Antonino, 441 ", Coronel Antonino , Campo Grande ,citro-n,01/01/2022
1022155,C4 Grand Picasso Exclusive 2.0 16v A/T,Prata,Gasolina,148000.0,,https://www.shopcar.com.br/veiculos/citro-n/c4-grand-picasso-exclusive-2-0-16v/08-09/1022155,Tanakinha Ve�culos,"Rua Albino Torraca, 414 - Centro - Dourados / MS",2008,2009, MS,"Rua Albino Torraca, 414 ", Centro , Dourados ,citro-n,01/01/2022
1117227,C4 Lounge Exclusive 1.6 16v THP A/T,Cinza,Gasolina,,,https://www.shopcar.com.br/veiculos/citro-n/c4-lounge-exclusive-1-6-16v-thp/14-15/1117227,R.A. Ve�culos,"Av. Weimar Gon�alves Torres, 4020 - Jardim Caramuru - Dourados / MS",2014,2015, MS,"Av. Weimar Gon�alves Torres, 4020 ", Jardim Caramuru , Dourados ,citro-n,01/01/2022
1130546,C4 Lounge Feel 1.6 16v THP A/T,Preta,Flex,56000.0,,https://www.shopcar.com.br/veiculos/citro-n/c4-lounge-feel-1-6-16v-thp/18-19/1130546,Nogueira Lins Ve�culos,"Av. Mato Grosso, 47 - Centro - Navira� / MS",2018,2019, MS,"Av. Mato Grosso, 47 ", Centro , Navira� ,citro-n,01/01/2022
1126163,C4 Pallas Exclusive 2.0 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c4-pallas-exclusive-2-0-16v/10-11/1126163,RBR Ve�culos,"Av. Salgado filho, 777 - Amamba�  - Campo Grande / MS",2010,2011, MS,"Av. Salgado filho, 777 ", Amamba�  , Campo Grande ,citro-n,01/01/2022
1130152,C4 Pallas Exclusive 2.0 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c4-pallas-exclusive-2-0-16v/09-10/1130152,Guarit� Motors,"Rua Ediberto Celestino de Oliveira, 2125 - Jardim Caramuru - Dourados / MS",2009,2010, MS,"Rua Ediberto Celestino de Oliveira, 2125 ", Jardim Caramuru , Dourados ,citro-n,01/01/2022
1119551,C4 Pallas GLX 2.0 16v,Preta,Gasolina,126000.0,,https://www.shopcar.com.br/veiculos/citro-n/c4-pallas-glx-2-0-16v/08-08/1119551,Intermotos ,"Av. Bandeirantes, 1692 - Nova Bandeirantes - Campo Grande / MS",2008,2008, MS,"Av. Bandeirantes, 1692 ", Nova Bandeirantes , Campo Grande ,citro-n,01/01/2022
1128324,C4 Pallas GLX 2.0 16v,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/citro-n/c4-pallas-glx-2-0-16v/07-08/1128324,Potencial Ve�culos,"Av. Bandeirantes, 2675 - Nova Bandeirantes - Campo Grande / MS",2007,2008, MS,"Av. Bandeirantes, 2675 ", Nova Bandeirantes , Campo Grande ,citro-n,01/01/2022
1077922,C4 VTR 2.0 16v,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/citro-n/c4-vtr-2-0-16v/06-07/1077922,Via Car,"Av Bandeirantes, 2991 - Vila Bandeirantes - Campo Grande / MS",2006,2007, MS,"Av Bandeirantes, 2991 ", Vila Bandeirantes , Campo Grande ,citro-n,01/01/2022
1136179,Camaro SS 6.2 V8 A/T,Laranja,Gasolina,4300.0,,https://www.shopcar.com.br/veiculos/gm-chevrolet/camaro-ss-6-2-v8/20-20/1136179,JS Ve�culos,"Rua Brasil, 576 - Parque Uni�o - Chapad�o do Sul / MS",2020,2020, MS,"Rua Brasil, 576 ", Parque Uni�o , Chapad�o do Sul ,gm-chevrolet,01/01/2022
